"guid","Site Sections Name"
"COM001","Competitions",
"FEA001","Features",
"BOO001","Book Club",
"LOC001","Locations",
"MIC001","Microsite",
"PEO001","People",
"THI001","This Day in History",
"TOP001","Topics",
