"People Name","Character Name","Keywords","Gender"
"GW Boles","","","Male",
"Stephen Fry","Narattor"," British","Male",
"Korie Robertson","","young
blonde
Pretty
American
Robertsons","Female",
"Willie Robertson","","American
Robertsons
beards
bayou
duck","Male",
"Rick Yemm","","beards","Male",
"Hugh Rowland","Hugh","trucker
American
beards","Male",
"Lisa Kelly","","blonde
snow
trucker
woman
Pretty
American","Female",
"Kay Robertson","Miss Kay","family
Robertsons
duck","Female",
"Phil Robertson","","American
Robertsons
beards
duck","Male",
